"","National","Labour","Green","NZ First","Conservative","Māori","ACT","United Future","MANA","TOTAL"
"Auckland Central",12494,11894,2080,NA,258,NA,193,NA,NA,27453
"Bay of Plenty",21735,6639,NA,4542,1322,NA,NA,135,NA,36192
"Botany",21044,7549,NA,NA,3053,NA,NA,NA,NA,32962
"Christchurch Central",15346,12926,2800,1245,598,109,122,NA,NA,33484
"Christchurch East",11148,15221,3206,NA,1271,190,NA,159,NA,32061
"Clutha-Southland",21561,6675,2398,NA,1403,NA,447,NA,NA,34025
"Coromandel",21934,4236,6133,3158,1133,176,161,NA,NA,37664
"Dunedin North",10398,16315,5978,NA,621,NA,NA,NA,NA,34636
"Dunedin South",14324,18182,2813,NA,727,NA,143,NA,NA,37442
"East Coast",18074,10140,2679,2485,784,NA,NA,NA,NA,34812
"East Coast Bays",19957,3915,3206,NA,4923,NA,NA,NA,NA,32557
"Epsom",11716,3470,3021,621,1725,NA,15966,NA,106,37059
"Hamilton East",19393,9194,2430,1296,991,NA,139,72,NA,34097
"Hamilton West",17382,11598,NA,2269,923,289,126,NA,NA,33109
"Helensville",22720,4425,4433,NA,963,NA,302,NA,NA,34860
"Hunua",23621,6245,NA,2900,1433,244,425,NA,NA,35324
"Hutt South",16127,16836,3207,1005,858,NA,182,107,NA,38713
"Ilam",19981,8083,4201,NA,1172,243,402,NA,NA,34851
"Invercargill",17526,10044,2497,2526,719,NA,NA,NA,NA,34045
"Kaikōura",20857,8287,3028,1896,1089,NA,132,NA,NA,36474
"Kelston",9724,15091,2052,1283,613,NA,267,82,NA,30062
"Mana",11698,19651,3024,NA,980,NA,NA,NA,NA,36245
"Māngere",3975,18908,1190,NA,1473,NA,NA,NA,536,26596
"Manukau East",4422,17676,675,1847,497,NA,NA,NA,259,25995
"Manurewa",7636,14038,1127,2015,562,238,NA,NA,268,26365
"Maungakiekie",16132,13784,2085,NA,672,NA,NA,114,462,33881
"Mt Albert",10314,20970,3152,NA,525,NA,321,NA,290,36052
"Mt Roskill",10546,18637,1682,717,1094,NA,NA,NA,300,33392
"Napier",11493,15343,1363,NA,7603,NA,NA,NA,NA,36175
"Nelson",20000,12395,3449,NA,1125,NA,193,NA,NA,37867
"New Lynn",11977,16534,2579,NA,1269,NA,NA,NA,NA,33017
"New Plymouth",21566,11788,2025,NA,633,NA,205,NA,NA,37347
"North Shore",23783,7280,3728,NA,2199,NA,575,NA,NA,38074
"Northcote",19696,10032,3030,NA,974,NA,383,159,NA,34850
"Northland",18269,8969,3639,NA,1555,NA,200,NA,NA,35056
"Ōhāriu",6120,12859,2764,NA,1038,NA,209,13569,NA,37099
"Ōtaki",20980,13198,2462,NA,913,NA,NA,NA,NA,38286
"Pakuranga",20388,7521,NA,NA,3465,NA,2030,NA,NA,34125
"Palmerston North",14673,16885,NA,1217,689,NA,NA,NA,NA,33971
"Papakura",15588,10469,1790,3374,1292,239,412,NA,174,33837
"Port Hills",15933,18161,3059,1131,626,NA,145,NA,NA,39384
"Rangitata",23518,9411,NA,NA,1577,NA,469,NA,NA,36086
"Rangitīkei",20487,9427,NA,2352,1505,NA,179,NA,NA,34305
"Rimutaka",12622,19286,1727,1785,973,NA,NA,NA,NA,36725
"Rodney",24519,4289,3454,3951,2210,NA,244,NA,NA,38922
"Rongotai",9223,18840,7856,793,576,NA,NA,95,225,38115
"Rotorua",18715,11297,NA,2466,610,NA,132,NA,NA,33548
"Selwyn",24625,3835,4064,1841,619,129,83,NA,NA,35378
"Tāmaki",25539,5118,3711,NA,610,NA,474,NA,302,36192
"Taranaki-King Country",22328,5555,3091,NA,1420,NA,NA,NA,NA,33218
"Taupō",22448,7402,1934,2310,891,366,NA,143,NA,35864
"Tauranga",20711,5869,2177,5851,1065,188,154,87,NA,36723
"Te Atatū",12863,15676,1618,NA,965,NA,416,NA,NA,32582
"Tukituki",18537,12047,2156,NA,1920,NA,163,NA,NA,35643
"Upper Harbour",18315,8623,2619,NA,1839,246,549,NA,204,32733
"Waikato",22911,6742,NA,3330,1442,NA,290,NA,NA,35308
"Waimakariri",17263,14757,1506,1024,816,92,NA,NA,NA,35712
"Wairarapa",16223,9452,1566,8630,816,181,90,NA,NA,37204
"Waitaki",24547,7879,4878,NA,1417,NA,NA,NA,NA,39445
"Wellington Central",11540,19807,5077,580,307,NA,NA,NA,NA,38353
"West Coast-Tasman",12653,16747,2385,NA,1031,NA,NA,NA,NA,35785
"Whanganui",18649,14144,NA,NA,872,610,252,NA,NA,35085
"Whangarei",20111,6942,3163,2944,984,300,285,NA,NA,36520
"Wigram",11189,14519,2324,NA,847,122,318,NA,NA,30063
"Hauraki-Waikato",NA,12191,NA,NA,NA,4496,NA,NA,3116,20545
"Ikaroa-Rāwhiti",NA,9753,2114,NA,NA,3848,NA,NA,5080,21586
"Tāmaki Makaurau",NA,7533,3136,NA,NA,6071,NA,NA,2624,20098
"Te Tai Hauāuru",NA,8089,3004,NA,NA,6535,NA,NA,1940,20110
"Te Tai Tokerau",NA,9710,NA,NA,NA,2565,NA,NA,8971,22134
"Te Tai Tonga",NA,8445,3173,NA,NA,4891,NA,NA,1996,20220
"Waiariki",NA,5837,NA,NA,NA,9726,NA,NA,5482,21797
