Electorate	Est.Elig	Gen	Maori	asof
Auckland Central	50530	35264	1335	2014-09-14
Bay of Plenty	50770	45347	4267	2014-09-14
Botany	52670	46935	1464	2014-09-14
Christchurch Central	53220	43463	1914	2014-09-14
Christchurch East	54740	42384	2506	2014-09-14
Clutha-Southland	51260	43408	1619	2014-09-14
Coromandel	53700	47500	3644	2014-09-14
Dunedin North	55080	43442	1405	2014-09-14
Dunedin South	50860	45952	1384	2014-09-14
East Coast	72590	45996	20860	2014-09-14
East Coast Bays	48130	43248	558	2014-09-14
Epsom	53150	47491	660	2014-09-14
Hamilton East	56920	44841	5129	2014-09-14
Hamilton West	55700	44584	6573	2014-09-14
Helensville	46480	42500	1737	2014-09-14
Hunua	48190	44133	2696	2014-09-14
Hutt South	54210	47711	3708	2014-09-14
Ilam	54220	44298	918	2014-09-14
Invercargill	49270	44616	2818	2014-09-14
Kaikōura	51640	45592	2100	2014-09-14
Kelston	50850	41650	3129	2014-09-14
Mana	51660	44758	4633	2014-09-14
Māngere	51350	40454	4992	2014-09-14
Manukau East	51010	39760	4634	2014-09-14
Manurewa	55420	40142	8235	2014-09-14
Maungakiekie	56310	45264	3343	2014-09-14
Mt Albert	53460	45569	1711	2014-09-14
Mt Roskill	52900	45558	1301	2014-09-14
Napier	53670	45020	6606	2014-09-14
Nelson	50110	47358	1839	2014-09-14
New Lynn	51750	44263	1681	2014-09-14
New Plymouth	52970	48225	3611	2014-09-14
North Shore	54970	48530	950	2014-09-14
Northcote	52480	46071	1859	2014-09-14
Northland	63630	44454	13124	2014-09-14
Ōhāriu	48820	44410	1346	2014-09-14
Ōtaki	51410	46326	3547	2014-09-14
Pakuranga	50740	45772	946	2014-09-14
Palmerston North	54130	42701	3504	2014-09-14
Papakura	55870	45238	7059	2014-09-14
Port Hills	55960	48700	1518	2014-09-14
Rangitata	50790	46174	1384	2014-09-14
Rangitīkei	54660	42564	4714	2014-09-14
Rimutaka	53370	45912	3848	2014-09-14
Rodney	50570	47707	1154	2014-09-14
Rongotai	53830	46033	2086	2014-09-14
Rotorua	58420	42919	12457	2014-09-14
Selwyn	45220	42111	1030	2014-09-14
Tāmaki	51100	45221	1615	2014-09-14
Taranaki-King Country	49960	41726	5104	2014-09-14
Taupō	56570	45867	6236	2014-09-14
Tauranga	50250	46449	3167	2014-09-14
Te Atatū	53550	43959	3802	2014-09-14
Tukituki	55240	44968	7541	2014-09-14
Upper Harbour	52290	44809	2342	2014-09-14
Waikato	54510	45142	6415	2014-09-14
Waimakariri	47650	44004	1197	2014-09-14
Wairarapa	51220	46487	4053	2014-09-14
Waitaki	52610	48328	1061	2014-09-14
Wellington Central	56150	45473	1438	2014-09-14
West Coast-Tasman	49020	44725	1753	2014-09-14
Whanganui	54740	45882	6079	2014-09-14
Whangarei	57920	46673	7266	2014-09-14
Wigram	48660	39903	1678	2014-09-14
Hauraki-Waikato		33730		2014-09-14
Ikaroa-Rāwhiti		33678		2014-09-14
Tāmaki Makaurau		34557		2014-09-14
Te Tai Hauāuru		31703		2014-09-14
Te Tai Tokerau		33627		2014-09-14
Te Tai Tonga		32541		2014-09-14
Waiariki		34447		2014-09-14
