"","xcord","ycord","type"
"Auckland Central",8.5,24,"g"
"Bay of Plenty",11.5,18,"g"
"Botany",10.5,22,"g"
"Christchurch Central",5,7,"g"
"Christchurch East",5.5,8,"g"
"Clutha-Southland",1.5,2,"g"
"Coromandel",11,19,"g"
"Dunedin North",3,3,"g"
"Dunedin South",2,3,"g"
"East Coast",12.5,16,"g"
"East Coast Bays",8.5,26,"g"
"Epsom",9,23,"g"
"Hamilton East",10.5,18,"g"
"Hamilton West",9.5,18,"g"
"Helensville",7.5,26,"g"
"Hunua",10.5,20,"g"
"Hutt South",9,11,"g"
"Ilam",4,7,"g"
"Invercargill",1,1,"g"
"Kaikōura",5.5,10,"g"
"Kelston",7,23,"g"
"Mana",8.5,12,"g"
"Māngere",9,21,"g"
"Manukau East",9.5,22,"g"
"Manurewa",10,21,"g"
"Maungakiekie",10,23,"g"
"Mt Albert",8,23,"g"
"Mt Roskill",8.5,22,"g"
"Napier",11,15,"g"
"Nelson",4.5,10,"g"
"New Lynn",7.5,22,"g"
"New Plymouth",9.5,16,"g"
"North Shore",9.5,26,"g"
"Northcote",9,25,"g"
"Northland",7.5,28,"g"
"Ōhāriu",8,11,"g"
"Ōtaki",9,13,"g"
"Pakuranga",11,23,"g"
"Palmerston North",9.5,14,"g"
"Papakura",9.5,20,"g"
"Port Hills",4.5,6,"g"
"Rangitata",3,5,"g"
"Rangitīkei",10,15,"g"
"Rimutaka",9.5,12,"g"
"Rodney",8,27,"g"
"Rongotai",8.5,10,"g"
"Rotorua",11.5,16,"g"
"Selwyn",4.5,8,"g"
"Tāmaki",9.5,24,"g"
"Taranaki-King Country",10,17,"g"
"Taupō",11,17,"g"
"Tauranga",12.5,18,"g"
"Te Atatū",7.5,24,"g"
"Tukituki",10.5,14,"g"
"Upper Harbour",8,25,"g"
"Waikato",10,19,"g"
"Waimakariri",5,9,"g"
"Wairarapa",10,13,"g"
"Waitaki",2.5,4,"g"
"Wellington Central",7.5,10,"g"
"West Coast-Tasman",3.5,8,"g"
"Whanganui",10.5,16,"g"
"Whangarei",8.5,28,"g"
"Wigram",3.5,6,"g"
"Hauraki-Waikato",2.5,26,"m"
"Ikaroa-Rāwhiti",3,25,"m"
"Tāmaki Makaurau",2,27,"m"
"Te Tai Hauāuru",2,25,"m"
"Te Tai Tokerau",1.5,28,"m"
"Te Tai Tonga",1.5,24,"m"
"Waiariki",3.5,26,"m"
