"","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","Party Informals","United Future","TOTAL"
"Auckland Central",404,10,146,280,202,7797,8590,53,237,562,14447,1403,164,75,34370
"Bay of Plenty",418,9,183,1485,13,3142,4965,29,91,213,20853,4569,226,207,36403
"Botany",478,9,85,777,7,1277,7111,13,72,84,17749,1278,238,94,29272
"Christchurch Central",219,24,180,487,9,4556,8240,22,100,139,12506,1391,237,151,28261
"Christchurch East",101,28,145,617,22,3359,9100,17,63,84,13252,1801,228,160,28977
"Clutha-Southland",583,17,210,992,75,2751,5160,24,48,136,20020,1556,209,259,32040
"Coromandel",473,4,217,1349,21,3929,6239,24,87,151,18021,3813,286,236,34850
"Dunedin North",218,50,172,405,62,7010,10127,18,181,126,9707,1706,190,183,30155
"Dunedin South",210,58,157,520,126,4798,12326,16,62,107,14163,2522,318,186,35569
"East Coast",280,10,133,898,10,3154,7101,9,224,313,14804,2536,233,271,29976
"East Coast Bays",530,14,156,1254,9,2704,5769,24,64,130,21079,1657,160,145,33695
"Epsom",939,12,118,412,9,4424,5716,31,91,217,23725,959,160,116,36929
"Hamilton East",341,8,131,1145,18,3949,8217,25,89,195,17085,1786,317,260,33566
"Hamilton West",292,10,175,1022,38,2834,9342,31,115,188,15300,2475,286,227,32335
"Helensville",499,4,174,1258,8,3094,5138,19,60,186,23558,1648,198,163,36007
"Hunua",515,4,154,1320,30,2438,5705,25,75,188,22161,2626,204,170,35615
"Hutt South",249,18,157,667,12,3940,11751,23,123,196,13510,1974,266,294,33180
"Ilam",394,17,106,714,16,4586,6552,29,53,171,19934,1350,196,247,34365
"Invercargill",397,34,257,643,129,2723,9296,34,63,162,16140,2213,324,264,32679
"Kaikōura",379,19,165,1296,42,3786,6775,23,45,147,18909,2236,284,306,34412
"Mana",163,16,168,604,10,4398,12999,20,165,227,13754,1667,375,234,34800
"Māngere",77,14,95,402,0,962,17960,4,252,134,3592,1466,518,49,25525
"Manukau East",143,9,93,393,7,913,17977,10,253,131,5287,1703,524,41,27484
"Manurewa",153,22,101,572,3,995,14517,13,215,163,6606,1861,411,56,25688
"Maungakiekie",400,13,128,585,7,3220,12467,28,140,213,14747,1753,283,130,34114
"Mt Albert",306,21,135,532,5,5660,12238,29,191,172,12102,1494,272,114,33271
"Mt Roskill",350,10,108,783,11,2351,14098,11,65,124,12781,1513,389,125,32719
